

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/07 15:08:23 | 3.1450 (0) | 25.3075 dC | 52.8165 rH | 44.1667 lx | 0.3486 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:08:28 | 3.1450 (0) | 25.2960 dC | 52.8438 rH | 75.8333 lx | 0.5985 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:08:33 | 3.1450 (0) | 25.3422 dC | 52.8378 rH | 65.8333 lx | 0.5196 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:08:38 | 3.1450 (0) | 25.3368 dC | 52.8495 rH | 17.5000 lx | 0.1381 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:08:43 | 3.1450 (0) | 25.3798 dC | 52.9281 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:08:48 | 3.1450 (0) | 25.3937 dC | 52.9288 rH | 61.6667 lx | 0.4867 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:08:53 | 3.1450 (0) | 25.4162 dC | 52.9358 rH | 70.0000 lx | 0.5525 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:08:58 | 3.1450 (0) | 25.4272 dC | 52.9720 rH | 141.6667 lx | 1.1181 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:03 | 3.1450 (0) | 25.4330 dC | 53.0091 rH | 50.0000 lx | 0.3946 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:08 | 3.1450 (0) | 25.4225 dC | 53.0008 rH | 58.3333 lx | 0.4604 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:13 | 3.1450 (0) | 25.4480 dC | 53.0701 rH | 132.5000 lx | 1.0458 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:18 | 3.1450 (0) | 25.4377 dC | 53.0860 rH | 41.6667 lx | 0.3289 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:23 | 3.1450 (0) | 25.4494 dC | 53.1440 rH | 84.1667 lx | 0.6643 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:28 | 3.1450 (0) | 25.4545 dC | 53.1662 rH | 48.3333 lx | 0.3815 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:33 | 3.1450 (0) | 25.4887 dC | 53.1636 rH | 34.1667 lx | 0.2697 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:38 | 3.1450 (0) | 25.5062 dC | 53.2287 rH | 51.6667 lx | 0.4078 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:43 | 3.1450 (0) | 25.5125 dC | 53.2395 rH | 73.3333 lx | 0.5788 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:48 | 3.1450 (0) | 25.5299 dC | 53.2856 rH | 58.3333 lx | 0.4604 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:53 | 3.1450 (0) | 25.5434 dC | 53.3029 rH | 68.3333 lx | 0.5393 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:09:58 | 3.1450 (0) | 25.5419 dC | 53.3625 rH | 59.1667 lx | 0.4670 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:03 | 3.1450 (0) | 25.5751 dC | 53.3918 rH | 60.8333 lx | 0.4801 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:08 | 3.1450 (0) | 25.5695 dC | 53.4408 rH | 65.8333 lx | 0.5196 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:13 | 3.1450 (0) | 25.6006 dC | 53.4722 rH | 66.6667 lx | 0.5262 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:18 | 3.1450 (0) | 25.5976 dC | 53.5298 rH | 62.5000 lx | 0.4933 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:23 | 3.1450 (0) | 25.5938 dC | 53.5413 rH | 75.8333 lx | 0.5985 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:28 | 3.1450 (0) | 25.6048 dC | 53.5671 rH | 69.1667 lx | 0.5459 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:33 | 3.1450 (0) | 25.6138 dC | 53.6372 rH | 82.5000 lx | 0.6511 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:38 | 3.1450 (0) | 25.6382 dC | 53.6434 rH | 64.1667 lx | 0.5064 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:43 | 3.1450 (0) | 25.6428 dC | 53.6896 rH | 67.5000 lx | 0.5328 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:48 | 3.1450 (0) | 25.6687 dC | 53.7354 rH | 102.5000 lx | 0.8090 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:53 | 3.1450 (0) | 25.7288 dC | 53.9959 rH | 97.5000 lx | 0.7695 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:10:58 | 3.1450 (0) | 25.8978 dC | 53.9682 rH | 80.0000 lx | 0.6314 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:11:03 | 3.1450 (0) | 25.9279 dC | 53.9653 rH | 68.3333 lx | 0.5393 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:11:08 | 3.1450 (0) | 25.9619 dC | 54.0525 rH | 71.6667 lx | 0.5656 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:11:13 | 3.1450 (0) | 25.9357 dC | 54.0271 rH | 36.6667 lx | 0.2894 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:11:18 | 3.1450 (0) | 25.9628 dC | 54.0750 rH | 63.3333 lx | 0.4999 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:11:23 | 3.1450 (0) | 25.9724 dC | 54.0960 rH | 64.1667 lx | 0.5064 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:11:28 | 3.1450 (0) | 25.9846 dC | 54.1455 rH | 66.6667 lx | 0.5262 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:11:33 | 3.1450 (0) | 26.0010 dC | 54.1602 rH | 80.8333 lx | 0.6380 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 15:11:38 | 3.1450 (0) | 26.0330 dC | 54.1845 rH | 65.0000 lx | 0.5130 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
