

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/07/11 20:21:42 | 3.1450 (0) | 20.0277 dC | 68.0249 rH | 268.3333 lx | 2.1179 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:22:18 | 3.1450 (0) | 20.1899 dC | 68.0779 rH | 8.3333 lx | 0.0658 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:22:53 | 3.1450 (0) | 20.7298 dC | 68.1304 rH | 5.0000 lx | 0.0395 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:23:29 | 3.1450 (0) | 20.9011 dC | 68.1634 rH | 3.3333 lx | 0.0263 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:24:04 | 3.1450 (0) | 21.0606 dC | 68.1277 rH | 4.1667 lx | 0.0329 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:24:39 | 3.1450 (0) | 21.0262 dC | 68.3095 rH | 2.5000 lx | 0.0197 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:25:15 | 3.1450 (0) | 21.2236 dC | 68.5033 rH | 4.1667 lx | 0.0329 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:25:50 | 3.1450 (0) | 21.2570 dC | 68.5044 rH | 4.1667 lx | 0.0329 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:26:25 | 3.1450 (0) | 21.4596 dC | 68.7349 rH | 3.3333 lx | 0.0263 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:27:01 | 3.1450 (0) | 21.4149 dC | 68.7064 rH | 1.6667 lx | 0.0132 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:27:36 | 3.1450 (0) | 21.2940 dC | 68.7231 rH | 1.6667 lx | 0.0132 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:28:11 | 3.1450 (0) | 21.2109 dC | 68.8459 rH | 1.6667 lx | 0.0132 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:28:47 | 3.1450 (0) | 21.0743 dC | 68.9157 rH | 2.5000 lx | 0.0197 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:29:22 | 3.1450 (0) | 20.9536 dC | 68.9804 rH | 0.8333 lx | 0.0066 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:29:58 | 3.1450 (0) | 20.7233 dC | 69.0094 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:30:33 | 3.1450 (0) | 20.5690 dC | 69.1138 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:31:08 | 3.1450 (0) | 20.3890 dC | 69.1599 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:31:44 | 3.1450 (0) | 20.2314 dC | 69.2406 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:15 | 3.1450 (0) | 20.0817 dC | 69.3259 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:20 | 3.1450 (0) | 20.0628 dC | 69.3087 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:25 | 3.1450 (0) | 20.0428 dC | 69.3328 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:30 | 3.1450 (0) | 20.0285 dC | 69.3459 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:35 | 3.1450 (0) | 20.0098 dC | 69.3618 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:40 | 3.1450 (0) | 20.0054 dC | 69.3687 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:45 | 3.1450 (0) | 19.9821 dC | 69.3915 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:50 | 3.1450 (0) | 19.9501 dC | 69.3837 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:32:55 | 3.1450 (0) | 19.9318 dC | 69.3882 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:00 | 3.1450 (0) | 19.9099 dC | 69.4252 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:05 | 3.1450 (0) | 19.8921 dC | 69.3961 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:10 | 3.1450 (0) | 19.8767 dC | 69.4069 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:15 | 3.1450 (0) | 19.8547 dC | 69.4714 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:20 | 3.1450 (0) | 19.8406 dC | 69.4633 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:25 | 3.1450 (0) | 19.8526 dC | 69.4552 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:30 | 3.1450 (0) | 19.8168 dC | 69.5023 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:35 | 3.1450 (0) | 19.8185 dC | 69.4939 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:40 | 3.1450 (0) | 19.7929 dC | 69.5000 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:45 | 3.1450 (0) | 19.7945 dC | 69.5197 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/07/11 20:33:50 | 3.1450 (0) | 19.7752 dC | 69.5090 rH | 0.0000 lx | 0.0000 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
