

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/07 11:46:27 | 3.1450 (0) | 24.6426 dC | 51.6739 rH | 409.1667 lx | 3.2294 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:46:32 | 3.1450 (0) | 24.6559 dC | 51.6674 rH | 422.5000 lx | 3.3346 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:46:37 | 3.1450 (0) | 24.6592 dC | 51.6354 rH | 421.6667 lx | 3.3281 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:46:42 | 3.1450 (0) | 24.6866 dC | 51.6444 rH | 413.3333 lx | 3.2623 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:46:47 | 3.1450 (0) | 24.6866 dC | 51.6238 rH | 427.5000 lx | 3.3741 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:46:52 | 3.1450 (0) | 24.6939 dC | 51.6456 rH | 392.5000 lx | 3.0979 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:46:57 | 3.1450 (0) | 24.7240 dC | 51.6116 rH | 388.3333 lx | 3.0650 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:02 | 3.1450 (0) | 24.7440 dC | 51.5959 rH | 387.5000 lx | 3.0584 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:07 | 3.1450 (0) | 24.7459 dC | 51.5938 rH | 400.0000 lx | 3.1571 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:12 | 3.1450 (0) | 24.7581 dC | 51.5893 rH | 388.3333 lx | 3.0650 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:17 | 3.1450 (0) | 24.7663 dC | 51.5734 rH | 396.6667 lx | 3.1308 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:22 | 3.1450 (0) | 24.7871 dC | 51.5672 rH | 398.3333 lx | 3.1439 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:27 | 3.1450 (0) | 24.8079 dC | 51.5626 rH | 388.3333 lx | 3.0650 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:32 | 3.1450 (0) | 24.8259 dC | 51.5663 rH | 395.0000 lx | 3.1176 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:37 | 3.1450 (0) | 24.8230 dC | 51.5366 rH | 429.1667 lx | 3.3873 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:47:42 | 3.1450 (0) | 24.8442 dC | 51.5294 rH | 438.3333 lx | 3.4596 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
