

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/03/08 17:34:15 | 3.1450 (0) | 25.8549 dC | 58.3405 rH | 514.1666 lx | 4.0581 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:34:20 | 3.1450 (0) | 25.8453 dC | 58.3406 rH | 519.1666 lx | 4.0976 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:34:25 | 3.1450 (0) | 25.8678 dC | 58.3926 rH | 503.3333 lx | 3.9726 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:34:30 | 3.1450 (0) | 25.8678 dC | 58.3982 rH | 526.6666 lx | 4.1568 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:34:35 | 3.1450 (0) | 25.8879 dC | 58.4201 rH | 532.5000 lx | 4.2028 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:34:40 | 3.1450 (0) | 25.8768 dC | 58.4156 rH | 518.3333 lx | 4.0910 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:34:45 | 3.1450 (0) | 25.8947 dC | 58.4364 rH | 277.5000 lx | 2.1902 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:34:50 | 3.1450 (0) | 25.9026 dC | 58.4359 rH | 525.0000 lx | 4.1436 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:34:55 | 3.1450 (0) | 25.9129 dC | 58.4536 rH | 530.8333 lx | 4.1897 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:35:00 | 3.1450 (0) | 25.8902 dC | 58.4314 rH | 548.3333 lx | 4.3278 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/03/08 17:35:05 | 3.1450 (0) | 25.9003 dC | 58.4352 rH | 546.6666 lx | 4.3147 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
