

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/06 17:01:42 | 3.1450 (0) | 28.2219 dC | 46.8509 rH | 471.6667 lx | 3.7227 W/m^2 | 0.0030 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:01:50 | 3.1450 (0) | 28.1855 dC | 46.8418 rH | 466.6667 lx | 3.6832 W/m^2 | 0.0030 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:01:58 | 3.1450 (0) | 28.1626 dC | 46.8595 rH | 431.6667 lx | 3.4070 W/m^2 | 0.0030 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:02:06 | 3.1450 (0) | 28.1639 dC | 46.8882 rH | 465.0000 lx | 3.6701 W/m^2 | 0.0020 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:02:15 | 3.1450 (0) | 28.1616 dC | 46.8932 rH | 465.0000 lx | 3.6701 W/m^2 | 0.0020 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:02:23 | 3.1450 (0) | 28.1382 dC | 46.9180 rH | 465.8333 lx | 3.6767 W/m^2 | 0.0020 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:02:31 | 3.1450 (0) | 28.1317 dC | 46.9075 rH | 470.0000 lx | 3.7095 W/m^2 | 0.0020 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:02:39 | 3.1450 (0) | 28.1336 dC | 46.9017 rH | 470.8333 lx | 3.7161 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:02:48 | 3.1450 (0) | 28.1286 dC | 46.9307 rH | 406.6667 lx | 3.2097 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:02:56 | 3.1450 (0) | 28.1309 dC | 46.9728 rH | 462.5000 lx | 3.6504 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:03:04 | 3.1450 (0) | 28.1067 dC | 46.9221 rH | 453.3333 lx | 3.5780 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:03:12 | 3.1450 (0) | 28.1065 dC | 46.9923 rH | 450.0000 lx | 3.5517 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:03:21 | 3.1450 (0) | 28.1076 dC | 46.9937 rH | 450.0000 lx | 3.5517 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:03:29 | 3.1450 (0) | 28.0966 dC | 46.9886 rH | 454.1667 lx | 3.5846 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
