

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/05 23:14:36 | 3.1450 (0) | 26.1148 dC | 59.8051 rH | 26.6667 lx | 0.2105 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:14:41 | 3.1450 (0) | 26.0557 dC | 59.7322 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:14:46 | 3.1450 (0) | 26.0408 dC | 59.6380 rH | 26.6667 lx | 0.2105 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:14:51 | 3.1450 (0) | 27.1208 dC | 60.7480 rH | 26.6667 lx | 0.2105 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:14:56 | 3.1450 (0) | 27.1620 dC | 59.6910 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:01 | 3.1450 (0) | 26.8261 dC | 59.4471 rH | 28.3333 lx | 0.2236 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:06 | 3.1450 (0) | 26.6300 dC | 59.3390 rH | 28.3333 lx | 0.2236 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:11 | 3.1450 (0) | 26.5175 dC | 59.3223 rH | 28.3333 lx | 0.2236 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:16 | 3.1450 (0) | 26.4471 dC | 59.2976 rH | 28.3333 lx | 0.2236 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:21 | 3.1450 (0) | 26.3920 dC | 59.2671 rH | 28.3333 lx | 0.2236 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:26 | 3.1450 (0) | 26.3405 dC | 59.2519 rH | 28.3333 lx | 0.2236 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:31 | 3.1450 (0) | 26.3029 dC | 59.2481 rH | 28.3333 lx | 0.2236 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:36 | 3.1450 (0) | 26.2804 dC | 59.2025 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:41 | 3.1450 (0) | 26.2745 dC | 59.2319 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:46 | 3.1450 (0) | 26.2585 dC | 59.2026 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:51 | 3.1450 (0) | 26.2472 dC | 59.2071 rH | 28.3333 lx | 0.2236 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:15:56 | 3.1450 (0) | 26.2308 dC | 59.1927 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:16:01 | 3.1450 (0) | 26.2053 dC | 59.1907 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:16:06 | 3.1450 (0) | 26.1997 dC | 59.1761 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 23:16:11 | 3.1450 (0) | 26.1774 dC | 59.1284 rH | 27.5000 lx | 0.2170 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
