

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/07 14:26:26 | 3.1450 (0) | 25.1806 dC | 48.0738 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:26:31 | 3.1450 (0) | 25.1873 dC | 48.0997 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:26:36 | 3.1450 (0) | 25.1722 dC | 48.0925 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:26:41 | 3.1450 (0) | 25.1757 dC | 48.0804 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:26:46 | 3.1450 (0) | 25.1505 dC | 48.0798 rH | 420.0000 lx | 3.3149 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:26:51 | 3.1450 (0) | 25.1665 dC | 48.0423 rH | 420.0000 lx | 3.3149 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:26:56 | 3.1450 (0) | 25.1650 dC | 48.0663 rH | 418.3333 lx | 3.3018 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:01 | 3.1450 (0) | 25.1587 dC | 48.0674 rH | 419.1667 lx | 3.3083 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:06 | 3.1450 (0) | 25.1637 dC | 48.0494 rH | 419.1667 lx | 3.3083 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:11 | 3.1450 (0) | 25.1629 dC | 48.0774 rH | 418.3333 lx | 3.3018 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:16 | 3.1450 (0) | 25.1650 dC | 48.0972 rH | 419.1667 lx | 3.3083 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:21 | 3.1450 (0) | 25.1537 dC | 48.0706 rH | 420.0000 lx | 3.3149 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:26 | 3.1450 (0) | 25.1535 dC | 48.0664 rH | 419.1667 lx | 3.3083 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:31 | 3.1450 (0) | 25.1404 dC | 48.0768 rH | 420.0000 lx | 3.3149 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:36 | 3.1450 (0) | 25.1610 dC | 48.0809 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:41 | 3.1450 (0) | 25.1514 dC | 48.0919 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:46 | 3.1450 (0) | 25.1560 dC | 48.0704 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:51 | 3.1450 (0) | 25.1371 dC | 48.0780 rH | 421.6667 lx | 3.3281 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
