

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/07 14:26:26 | 3.1450 (0) | 25.1806 dC | 48.0738 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:27:56 | 3.1450 (0) | 25.1463 dC | 48.0708 rH | 421.6667 lx | 3.3281 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:01 | 3.1450 (0) | 25.1469 dC | 48.0927 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:06 | 3.1450 (0) | 25.1459 dC | 48.0973 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:11 | 3.1450 (0) | 25.1417 dC | 48.0961 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:16 | 3.1450 (0) | 25.1490 dC | 48.0678 rH | 420.0000 lx | 3.3149 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:21 | 3.1450 (0) | 25.1371 dC | 48.0715 rH | 421.6667 lx | 3.3281 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:26 | 3.1450 (0) | 25.1364 dC | 48.1015 rH | 421.6667 lx | 3.3281 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:31 | 3.1450 (0) | 25.1295 dC | 48.1030 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:36 | 3.1450 (0) | 25.1293 dC | 48.1110 rH | 422.5000 lx | 3.3346 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:41 | 3.1450 (0) | 25.1211 dC | 48.0849 rH | 421.6667 lx | 3.3281 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:46 | 3.1450 (0) | 25.1404 dC | 48.1168 rH | 421.6667 lx | 3.3281 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:51 | 3.1450 (0) | 25.1362 dC | 48.1228 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 14:28:56 | 3.1450 (0) | 25.1495 dC | 48.1092 rH | 419.1667 lx | 3.3083 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
