

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/06 17:08:11 | 3.1450 (0) | 28.1353 dC | 47.3526 rH | 510.8333 lx | 4.0318 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:08:20 | 3.1450 (0) | 28.1349 dC | 47.3860 rH | 485.8333 lx | 3.8345 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:08:28 | 3.1450 (0) | 28.1162 dC | 47.3822 rH | 490.0000 lx | 3.8674 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:08:36 | 3.1450 (0) | 28.1157 dC | 47.3771 rH | 506.6667 lx | 3.9989 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:08:45 | 3.1450 (0) | 28.0952 dC | 47.3916 rH | 493.3333 lx | 3.8937 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:08:53 | 3.1450 (0) | 28.0783 dC | 47.4023 rH | 497.5000 lx | 3.9266 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:09:02 | 3.1450 (0) | 28.1042 dC | 47.3989 rH | 494.1667 lx | 3.9003 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:09:10 | 3.1450 (0) | 28.0888 dC | 47.4153 rH | 491.6667 lx | 3.8806 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:09:18 | 3.1450 (0) | 28.0903 dC | 47.3989 rH | 488.3333 lx | 3.8542 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:09:27 | 3.1450 (0) | 28.0901 dC | 47.4395 rH | 473.3333 lx | 3.7359 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 17:09:35 | 3.1450 (0) | 28.0901 dC | 47.4339 rH | 423.3333 lx | 3.3412 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
