2023/02/05 20:25:16 | 3.1450 (0) | 27.9137 dC | 59.7205 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:18 | 3.1450 (0) | 27.9165 dC | 59.7051 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:20 | 3.1450 (0) | 27.9329 dC | 59.7294 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:22 | 3.1450 (0) | 27.9257 dC | 59.7410 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:24 | 3.1450 (0) | 27.9186 dC | 59.7434 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:26 | 3.1450 (0) | 27.9348 dC | 59.7120 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:28 | 3.1450 (0) | 27.9150 dC | 59.7096 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:30 | 3.1450 (0) | 27.9156 dC | 59.7132 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:32 | 3.1450 (0) | 27.9106 dC | 59.7190 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:34 | 3.1450 (0) | 27.9274 dC | 59.7043 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:36 | 3.1450 (0) | 27.9274 dC | 59.7532 rH | 1645.8333 lx | 12.9900 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:38 | 3.1450 (0) | 27.9484 dC | 59.7302 rH | 3418.3333 lx | 26.9797 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:40 | 3.1450 (0) | 27.9606 dC | 59.7357 rH | 6026.6665 lx | 47.5664 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:42 | 3.1450 (0) | 27.9596 dC | 59.7425 rH | 2019.9999 lx | 15.9432 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:44 | 3.1450 (0) | 27.9665 dC | 59.7524 rH | 7446.6665 lx | 58.7740 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:46 | 3.1450 (0) | 27.9711 dC | 59.7095 rH | 8418.3330 lx | 66.4430 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:48 | 3.1450 (0) | 27.9673 dC | 59.7320 rH | 7648.3330 lx | 60.3657 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:50 | 3.1450 (0) | 27.9747 dC | 59.7624 rH | 8067.4995 lx | 63.6740 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:52 | 3.1450 (0) | 27.9846 dC | 59.7370 rH | 37739.1641 lx | 297.8624 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:54 | 3.1450 (0) | 27.9915 dC | 59.7119 rH | 43395.0000 lx | 342.5020 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:56 | 3.1450 (0) | 27.9881 dC | 59.7081 rH | 38665.0000 lx | 305.1697 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:25:58 | 3.1450 (0) | 27.9888 dC | 59.7106 rH | 25114.9980 lx | 198.2241 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:00 | 3.1450 (0) | 28.0012 dC | 59.7154 rH | 234.1667 lx | 1.8482 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:02 | 3.1450 (0) | 27.9718 dC | 59.7061 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:04 | 3.1450 (0) | 27.9921 dC | 59.6885 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:06 | 3.1450 (0) | 28.0039 dC | 59.7182 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:08 | 3.1450 (0) | 27.9892 dC | 59.6828 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:10 | 3.1450 (0) | 27.9833 dC | 59.6963 rH | 60.0000 lx | 0.4736 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:12 | 3.1450 (0) | 27.9673 dC | 59.6792 rH | 33.3333 lx | 0.2631 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:14 | 3.1450 (0) | 27.9718 dC | 59.6838 rH | 36.6667 lx | 0.2894 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:16 | 3.1450 (0) | 27.9779 dC | 59.6580 rH | 34.1667 lx | 0.2697 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:18 | 3.1450 (0) | 27.9783 dC | 59.6930 rH | 33.3333 lx | 0.2631 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:20 | 3.1450 (0) | 27.9743 dC | 59.6396 rH | 34.1667 lx | 0.2697 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:22 | 3.1450 (0) | 27.9757 dC | 59.6837 rH | 37.5000 lx | 0.2960 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:24 | 3.1450 (0) | 27.9715 dC | 59.6881 rH | 35.8333 lx | 0.2828 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:26 | 3.1450 (0) | 27.9711 dC | 59.6387 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:28 | 3.1450 (0) | 27.9503 dC | 59.6658 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:30 | 3.1450 (0) | 27.9610 dC | 59.6516 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:32 | 3.1450 (0) | 27.9764 dC | 59.6635 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:34 | 3.1450 (0) | 27.9530 dC | 59.6618 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:36 | 3.1450 (0) | 27.9675 dC | 59.6371 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:38 | 3.1450 (0) | 27.9577 dC | 59.6338 rH | 30.8333 lx | 0.2434 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:40 | 3.1450 (0) | 27.9646 dC | 59.6565 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/05 20:26:42 | 3.1450 (0) | 27.9661 dC | 59.6343 rH | 30.0000 lx | 0.2368 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
