Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 17:55:26 | 3.1450 (0) | 24.6140 dC | 48.1566 rH | 130.8333 lx | 0.6880 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:27 | 3.1450 (0) | 24.5825 dC | 48.0762 rH | 132.5000 lx | 0.6720 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:28 | 3.1450 (0) | 24.5821 dC | 48.0685 rH | 134.1667 lx | 0.6720 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:30 | 3.1450 (0) | 24.5787 dC | 48.0476 rH | 135.8333 lx | 0.6570 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:31 | 3.1450 (0) | 24.5533 dC | 48.0620 rH | 135.0000 lx | 0.6570 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:32 | 3.1450 (0) | 24.5537 dC | 48.0279 rH | 135.0000 lx | 0.6410 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:33 | 3.1450 (0) | 24.5333 dC | 48.2760 rH | 136.6667 lx | 0.6410 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:34 | 3.1450 (0) | 24.5239 dC | 48.2621 rH | 138.3333 lx | 0.6270 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:35 | 3.1450 (0) | 24.5300 dC | 48.2053 rH | 57.5000 lx | 0.6120 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:36 | 3.1450 (0) | 24.5358 dC | 48.3029 rH | 127.5000 lx | 0.6120 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:38 | 3.1450 (0) | 24.5344 dC | 49.4456 rH | 128.3333 lx | 0.5980 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:39 | 3.1450 (0) | 24.5193 dC | 50.7640 rH | 129.1667 lx | 0.5980 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:40 | 3.1450 (0) | 24.5346 dC | 51.1382 rH | 129.1667 lx | 0.5850 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:41 | 3.1450 (0) | 24.5350 dC | 51.1449 rH | 130.8333 lx | 0.5850 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:42 | 3.1450 (0) | 24.5190 dC | 50.3943 rH | 133.3333 lx | 0.5710 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:43 | 3.1450 (0) | 24.5510 dC | 50.1118 rH | 137.5000 lx | 0.5710 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 17:55:44 | 3.1450 (0) | 24.5533 dC | 49.8104 rH | 149.1667 lx | 0.5580 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 23:12:47 | 3.1450 (0) | 25.9850 dC | 56.2818 rH | 25.8333 lx | 14.5110 V | -0.0370 mV | -0.3350 mA | 0.0000 mW
2023/01/29 23:12:49 | 3.1450 (0) | 25.9768 dC | 56.2752 rH | 27.5000 lx | 14.5110 V | -0.0370 mV | -0.3350 mA | 0.0000 mW
Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 23:12:53 | 3.1450 (0) | 25.9787 dC | 56.2690 rH | 32.5000 lx | 14.5110 V | -0.0350 mV | -0.3350 mA | 5.3400 mW
2023/01/29 23:12:54 | 3.1450 (0) | 25.9514 dC | 56.2870 rH | 32.5000 lx | 14.5110 V | -0.0350 mV | -0.3350 mA | 5.3400 mW
2023/01/29 23:12:55 | 3.1450 (0) | 25.9548 dC | 56.2750 rH | 32.5000 lx | 14.5110 V | -0.0320 mV | -0.3350 mA | 5.3400 mW
Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 23:14:15 | 3.1450 (0) | 25.8410 dC | 56.4927 rH | 34.1667 lx | 0.0000 V | -0.0020 mV | -0.0300 mA | 0.0000 mW
