Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/31 11:55:05 | 3.1450 (0) | 31.2626 dC | 54.7527 rH | 20890.0000 lx | 19.7670 V | 0.1570 mV | 1.5860 mA | 31.2800 mW
2023/01/31 11:55:06 | 3.1450 (0) | 31.2613 dC | 54.7594 rH | 20925.8320 lx | 19.7670 V | 0.1570 mV | 1.5860 mA | 31.2800 mW
2023/01/31 11:55:07 | 3.1450 (0) | 31.2750 dC | 54.7771 rH | 20756.6660 lx | 19.7910 V | 0.1570 mV | 1.5860 mA | 31.2800 mW
2023/01/31 11:55:08 | 3.1450 (0) | 31.2923 dC | 54.7436 rH | 20378.3320 lx | 19.7910 V | 0.1570 mV | 1.5860 mA | 31.2800 mW
2023/01/31 11:55:10 | 3.1450 (0) | 31.2801 dC | 54.7621 rH | 20025.0000 lx | 19.7680 V | 0.1570 mV | 1.5860 mA | 31.2800 mW
2023/01/31 11:55:11 | 3.1450 (0) | 31.2992 dC | 54.7215 rH | 19685.8320 lx | 19.7680 V | 0.1570 mV | 1.5860 mA | 31.2800 mW
2023/01/31 11:55:12 | 3.1450 (0) | 31.2937 dC | 54.7441 rH | 19505.0000 lx | 19.7280 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:13 | 3.1450 (0) | 31.3005 dC | 54.7466 rH | 19366.6660 lx | 19.7280 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:14 | 3.1450 (0) | 31.3139 dC | 54.7238 rH | 19288.3320 lx | 19.7060 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:15 | 3.1450 (0) | 31.3211 dC | 54.7217 rH | 19205.0000 lx | 19.6950 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:16 | 3.1450 (0) | 31.3005 dC | 54.6765 rH | 19140.0000 lx | 19.6950 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:18 | 3.1450 (0) | 31.2801 dC | 54.6436 rH | 19070.8320 lx | 19.6870 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:19 | 3.1450 (0) | 31.2704 dC | 54.6556 rH | 19036.6660 lx | 19.6870 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:20 | 3.1450 (0) | 31.2460 dC | 54.6529 rH | 18981.6660 lx | 19.6850 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:21 | 3.1450 (0) | 31.2450 dC | 54.6755 rH | 18941.6660 lx | 19.6850 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:22 | 3.1450 (0) | 31.2391 dC | 54.7085 rH | 18917.5000 lx | 19.6830 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:23 | 3.1450 (0) | 31.2429 dC | 54.6979 rH | 18885.0000 lx | 19.6830 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:24 | 3.1450 (0) | 31.2492 dC | 54.6236 rH | 18868.3320 lx | 19.6830 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:25 | 3.1450 (0) | 31.2332 dC | 54.6865 rH | 18860.0000 lx | 19.6830 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:27 | 3.1450 (0) | 31.2277 dC | 54.6763 rH | 18845.8320 lx | 19.6830 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:28 | 3.1450 (0) | 31.2172 dC | 54.6591 rH | 18841.6660 lx | 19.6850 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:29 | 3.1450 (0) | 31.2094 dC | 54.6707 rH | 18820.0000 lx | 19.6850 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:30 | 3.1450 (0) | 31.2231 dC | 54.6806 rH | 18799.1660 lx | 19.6870 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:31 | 3.1450 (0) | 31.2195 dC | 54.6672 rH | 18807.5000 lx | 19.6870 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:32 | 3.1450 (0) | 31.2128 dC | 54.6659 rH | 18810.8320 lx | 19.6900 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:33 | 3.1450 (0) | 31.2027 dC | 54.6312 rH | 18880.0000 lx | 19.6900 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:35 | 3.1450 (0) | 31.1939 dC | 54.6024 rH | 18914.1660 lx | 19.6950 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:36 | 3.1450 (0) | 31.1785 dC | 54.6507 rH | 18918.3320 lx | 19.7000 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:37 | 3.1450 (0) | 31.1741 dC | 54.6238 rH | 18889.1660 lx | 19.7000 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:38 | 3.1450 (0) | 31.1705 dC | 54.6327 rH | 18625.8320 lx | 19.7070 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:39 | 3.1450 (0) | 31.1581 dC | 54.6117 rH | 16425.0000 lx | 19.7070 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:40 | 3.1450 (0) | 31.1636 dC | 54.6554 rH | 18733.3320 lx | 19.7150 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:41 | 3.1450 (0) | 31.1462 dC | 54.6593 rH | 18845.8320 lx | 19.7150 V | 0.1550 mV | 1.5560 mA | 31.2800 mW
2023/01/31 11:55:43 | 3.1450 (0) | 31.1422 dC | 54.6335 rH | 18830.8320 lx | 19.7200 V | 0.1620 mV | 1.6170 mA | 32.0430 mW
2023/01/31 11:55:44 | 3.1450 (0) | 31.1096 dC | 54.6538 rH | 18380.0000 lx | 19.7200 V | 0.1620 mV | 1.6170 mA | 32.0430 mW
2023/01/31 11:55:45 | 3.1450 (0) | 31.0865 dC | 54.6819 rH | 18559.1660 lx | 19.7250 V | 0.1870 mV | 1.8610 mA | 36.6210 mW
2023/01/31 11:55:46 | 3.1450 (0) | 31.0760 dC | 54.6947 rH | 18560.0000 lx | 19.7300 V | 0.2670 mV | 2.6850 mA | 52.6430 mW
2023/01/31 11:55:47 | 3.1450 (0) | 31.0892 dC | 54.7146 rH | 18826.6660 lx | 19.7300 V | 0.2670 mV | 2.6850 mA | 52.6430 mW
2023/01/31 11:55:48 | 3.1450 (0) | 31.0551 dC | 54.7438 rH | 18613.3320 lx | 19.7350 V | 0.4600 mV | 4.6080 mA | 90.7910 mW
2023/01/31 11:55:49 | 3.1450 (0) | 31.0476 dC | 54.7158 rH | 18193.3320 lx | 19.7350 V | 0.4600 mV | 4.6080 mA | 90.7910 mW
2023/01/31 11:55:51 | 3.1450 (0) | 31.0518 dC | 54.7512 rH | 18920.8320 lx | 19.7330 V | 1.0320 mV | 10.3150 mA | 203.7070 mW
2023/01/31 11:55:52 | 3.1450 (0) | 31.0509 dC | 54.7637 rH | 18528.3320 lx | 19.7330 V | 1.0320 mV | 10.3150 mA | 203.7070 mW
2023/01/31 11:55:53 | 3.1450 (0) | 31.0389 dC | 54.7688 rH | 12142.5000 lx | 19.7300 V | 1.7350 mV | 17.3340 mA | 341.8010 mW
2023/01/31 11:55:54 | 3.1450 (0) | 31.0623 dC | 54.7759 rH | 4686.6665 lx | 19.7300 V | 1.7350 mV | 17.3340 mA | 341.8010 mW
2023/01/31 11:55:55 | 3.1450 (0) | 31.0705 dC | 54.7794 rH | 6150.8330 lx | 19.7480 V | 0.9650 mV | 9.6430 mA | 189.9740 mW
2023/01/31 11:55:57 | 3.1450 (0) | 31.0911 dC | 54.7542 rH | 17049.1660 lx | 19.7560 V | 1.0120 mV | 10.1310 mA | 199.8920 mW
2023/01/31 11:55:58 | 3.1450 (0) | 31.1089 dC | 54.7542 rH | 19155.0000 lx | 19.7560 V | 1.0120 mV | 10.1310 mA | 199.8920 mW
2023/01/31 11:55:59 | 3.1450 (0) | 31.1029 dC | 54.7913 rH | 19040.0000 lx | 19.7630 V | 1.0120 mV | 10.1310 mA | 199.8920 mW
2023/01/31 11:56:00 | 3.1450 (0) | 31.0984 dC | 54.7623 rH | 19060.8320 lx | 19.7630 V | 1.0120 mV | 10.1310 mA | 199.8920 mW
2023/01/31 11:56:01 | 3.1450 (0) | 31.0991 dC | 54.7585 rH | 19089.1660 lx | 19.7710 V | 1.0970 mV | 10.9550 mA | 217.4400 mW
2023/01/31 11:56:02 | 3.1450 (0) | 31.0968 dC | 54.7813 rH | 19190.8320 lx | 19.7710 V | 1.0970 mV | 10.9550 mA | 217.4400 mW
2023/01/31 11:56:04 | 3.1450 (0) | 31.0850 dC | 54.7802 rH | 19110.8320 lx | 19.7770 V | 1.2370 mV | 12.3590 mA | 244.1440 mW
2023/01/31 11:56:05 | 3.1450 (0) | 31.0755 dC | 54.7996 rH | 19327.5000 lx | 19.7820 V | 1.4620 mV | 14.6180 mA | 289.1580 mW
2023/01/31 11:56:06 | 3.1450 (0) | 31.0801 dC | 54.8206 rH | 19453.3320 lx | 19.7820 V | 1.4620 mV | 14.6180 mA | 289.1580 mW
2023/01/31 11:56:07 | 3.1450 (0) | 31.0814 dC | 54.8190 rH | 19307.5000 lx | 19.7870 V | 1.8100 mV | 18.0970 mA | 357.8230 mW
2023/01/31 11:56:08 | 3.1450 (0) | 31.0886 dC | 54.8455 rH | 19400.0000 lx | 19.7870 V | 1.8100 mV | 18.0970 mA | 357.8230 mW
2023/01/31 11:56:09 | 3.1450 (0) | 31.0823 dC | 54.8300 rH | 19325.0000 lx | 19.7960 V | 1.8570 mV | 18.5540 mA | 367.7410 mW
2023/01/31 11:56:11 | 3.1450 (0) | 31.0833 dC | 54.8262 rH | 19493.3320 lx | 19.7960 V | 1.8570 mV | 18.5540 mA | 367.7410 mW
2023/01/31 11:56:12 | 3.1450 (0) | 31.0804 dC | 54.8475 rH | 19360.0000 lx | 19.8110 V | 1.4850 mV | 14.8310 mA | 293.7350 mW
2023/01/31 11:56:13 | 3.1450 (0) | 31.0888 dC | 54.7889 rH | 19437.5000 lx | 19.8260 V | 1.0620 mV | 10.6200 mA | 210.5740 mW
2023/01/31 11:56:14 | 3.1450 (0) | 31.0841 dC | 54.8451 rH | 19615.0000 lx | 19.8260 V | 1.0620 mV | 10.6200 mA | 210.5740 mW
2023/01/31 11:56:15 | 3.1450 (0) | 31.0709 dC | 54.7801 rH | 19651.6660 lx | 19.8230 V | 2.0100 mV | 20.0800 mA | 398.2590 mW
2023/01/31 11:56:16 | 3.1450 (0) | 31.0604 dC | 54.7869 rH | 19861.6660 lx | 19.8230 V | 2.0100 mV | 20.0800 mA | 398.2590 mW
2023/01/31 11:56:18 | 3.1450 (0) | 31.0856 dC | 54.8268 rH | 19858.3320 lx | 19.8250 V | 2.6120 mV | 26.1230 mA | 517.2800 mW
2023/01/31 11:56:19 | 3.1450 (0) | 31.0774 dC | 54.8083 rH | 20074.1660 lx | 19.8250 V | 2.6120 mV | 26.1230 mA | 517.2800 mW
2023/01/31 11:56:20 | 3.1450 (0) | 31.1119 dC | 54.8188 rH | 19813.3320 lx | 19.8170 V | 3.9550 mV | 39.5200 mA | 782.7860 mW
2023/01/31 11:56:21 | 3.1450 (0) | 31.1188 dC | 54.7855 rH | 20951.6660 lx | 19.8260 V | 4.1000 mV | 40.9850 mA | 812.5410 mW
2023/01/31 11:56:22 | 3.1450 (0) | 31.1459 dC | 54.8091 rH | 21018.3320 lx | 19.8260 V | 4.1000 mV | 40.9850 mA | 812.5410 mW
2023/01/31 11:56:23 | 3.1450 (0) | 31.1499 dC | 54.7786 rH | 21314.1660 lx | 19.8280 V | 4.7200 mV | 47.1800 mA | 935.3760 mW
2023/01/31 11:56:25 | 3.1450 (0) | 31.1781 dC | 54.7833 rH | 21394.1660 lx | 19.8280 V | 4.7200 mV | 47.1800 mA | 935.3760 mW
2023/01/31 11:56:26 | 3.1450 (0) | 31.1918 dC | 54.7935 rH | 21396.6660 lx | 19.7820 V | 8.9150 mV | 89.1120 mA | 1762.4140 mW
2023/01/31 11:56:27 | 3.1450 (0) | 31.1954 dC | 54.7882 rH | 21570.8320 lx | 19.7820 V | 8.9150 mV | 89.1120 mA | 1762.4140 mW
2023/01/31 11:56:28 | 3.1450 (0) | 31.2080 dC | 54.7639 rH | 21670.0000 lx | 19.6600 V | 18.7550 mV | 187.4720 mA | 3685.8110 mW
2023/01/31 11:56:29 | 3.1450 (0) | 31.2218 dC | 54.6922 rH | 21775.0000 lx | 19.6600 V | 18.7550 mV | 187.4720 mA | 3685.8110 mW
2023/01/31 11:56:30 | 3.1450 (0) | 31.2372 dC | 54.7070 rH | 22026.6660 lx | 19.6770 V | 18.7750 mV | 187.6850 mA | 3692.6780 mW
2023/01/31 11:56:31 | 3.1450 (0) | 31.2250 dC | 54.6843 rH | 21322.5000 lx | 19.6950 V | 18.8250 mV | 188.1730 mA | 3706.4110 mW
2023/01/31 11:56:33 | 3.1450 (0) | 31.2140 dC | 54.6625 rH | 22204.1660 lx | 19.6950 V | 18.8250 mV | 188.1730 mA | 3706.4110 mW
2023/01/31 11:56:34 | 3.1450 (0) | 31.2244 dC | 54.6762 rH | 22345.8320 lx | 19.7130 V | 18.8750 mV | 188.6620 mA | 3719.3810 mW
2023/01/31 11:56:35 | 3.1450 (0) | 31.2185 dC | 54.6605 rH | 22535.0000 lx | 19.7130 V | 18.8750 mV | 188.6620 mA | 3719.3810 mW
2023/01/31 11:56:36 | 3.1450 (0) | 31.2227 dC | 54.6638 rH | 22782.5000 lx | 19.7350 V | 18.9020 mV | 188.9360 mA | 3728.5360 mW
2023/01/31 11:56:37 | 3.1450 (0) | 31.2227 dC | 54.6720 rH | 22946.6660 lx | 19.7350 V | 18.9020 mV | 188.9360 mA | 3728.5360 mW
2023/01/31 11:56:38 | 3.1450 (0) | 31.2286 dC | 54.6759 rH | 22940.0000 lx | 19.7580 V | 18.8320 mV | 188.2350 mA | 3719.3810 mW
2023/01/31 11:56:39 | 3.1450 (0) | 31.2267 dC | 54.6388 rH | 23180.8320 lx | 19.7580 V | 18.8320 mV | 188.2350 mA | 3719.3810 mW
2023/01/31 11:56:41 | 3.1450 (0) | 31.2378 dC | 54.6533 rH | 23385.0000 lx | 19.7730 V | 19.3200 mV | 193.1170 mA | 3818.5640 mW
2023/01/31 11:56:42 | 3.1450 (0) | 31.2565 dC | 54.6637 rH | 23693.3320 lx | 19.7780 V | 20.9350 mV | 209.2610 mA | 4139.0030 mW
2023/01/31 11:56:43 | 3.1450 (0) | 31.2622 dC | 54.6763 rH | 24171.6660 lx | 19.7780 V | 20.9350 mV | 209.2610 mA | 4139.0030 mW
2023/01/31 11:56:44 | 3.1450 (0) | 31.2845 dC | 54.6624 rH | 17881.6660 lx | 19.8020 V | 22.9850 mV | 229.7390 mA | 4549.4700 mW
2023/01/31 11:56:45 | 3.1450 (0) | 31.2489 dC | 54.6379 rH | 13993.3330 lx | 19.8020 V | 22.9850 mV | 229.7390 mA | 4549.4700 mW
2023/01/31 11:56:46 | 3.1450 (0) | 31.2429 dC | 54.6041 rH | 17895.8320 lx | 19.8360 V | 22.9720 mV | 229.6170 mA | 4554.8110 mW
2023/01/31 11:56:47 | 3.1450 (0) | 31.2466 dC | 54.6674 rH | 24137.5000 lx | 19.8360 V | 22.9720 mV | 229.6170 mA | 4554.8110 mW
2023/01/31 11:56:49 | 3.1450 (0) | 31.2645 dC | 54.6723 rH | 25034.1660 lx | 19.8220 V | 23.0120 mV | 230.0140 mA | 4560.1520 mW
2023/01/31 11:56:50 | 3.1450 (0) | 31.2809 dC | 54.6673 rH | 24388.3320 lx | 19.8220 V | 23.0120 mV | 230.0140 mA | 4560.1520 mW
2023/01/31 11:56:51 | 3.1450 (0) | 31.2927 dC | 54.6857 rH | 24462.5000 lx | 19.8250 V | 23.6520 mV | 236.4220 mA | 4686.8010 mW
2023/01/31 11:56:52 | 3.1450 (0) | 31.3179 dC | 54.6810 rH | 24243.3320 lx | 19.7660 V | 27.5970 mV | 275.8520 mA | 5451.2770 mW
2023/01/31 11:56:53 | 3.1450 (0) | 31.3395 dC | 54.6818 rH | 24410.0000 lx | 19.7660 V | 27.5970 mV | 275.8520 mA | 5451.2770 mW
2023/01/31 11:56:54 | 3.1450 (0) | 31.3623 dC | 54.6669 rH | 24610.8320 lx | 19.6380 V | 35.8520 mV | 358.3720 mA | 7035.1610 mW
2023/01/31 11:56:55 | 3.1450 (0) | 31.3854 dC | 54.6600 rH | 24628.3320 lx | 19.6380 V | 35.8520 mV | 358.3720 mA | 7035.1610 mW
2023/01/31 11:56:57 | 3.1450 (0) | 31.3795 dC | 54.6202 rH | 24655.8320 lx | 19.2020 V | 60.4770 mV | 604.5310 mA | 11579.2920 mW
2023/01/31 11:56:58 | 3.1450 (0) | 31.3902 dC | 54.6078 rH | 24795.8320 lx | 19.2020 V | 60.4770 mV | 604.5310 mA | 11579.2920 mW
2023/01/31 11:56:59 | 3.1450 (0) | 31.3896 dC | 54.5964 rH | 25819.9980 lx | 18.4950 V | 81.9170 mV | 818.8280 mA | 15144.5570 mW
2023/01/31 11:57:00 | 3.1450 (0) | 31.4079 dC | 54.5930 rH | 25632.4980 lx | 18.4950 V | 81.9170 mV | 818.8280 mA | 15144.5570 mW
2023/01/31 11:57:01 | 3.1450 (0) | 31.4056 dC | 54.5982 rH | 24875.8320 lx | 15.2130 V | 81.9170 mV | 818.8280 mA | 12457.4470 mW
2023/01/31 11:57:02 | 3.1450 (0) | 31.4165 dC | 54.5609 rH | 24168.3320 lx | 17.5630 V | 81.9170 mV | 818.8280 mA | 14382.3700 mW
2023/01/31 11:57:03 | 3.1450 (0) | 31.4192 dC | 54.6012 rH | 23861.6660 lx | 17.5630 V | 81.9170 mV | 818.8280 mA | 14382.3700 mW
2023/01/31 11:57:05 | 3.1450 (0) | 31.4285 dC | 54.5642 rH | 23650.8320 lx | 18.6520 V | 75.5950 mV | 755.6250 mA | 14069.5600 mW
2023/01/31 11:57:06 | 3.1450 (0) | 31.4266 dC | 54.5627 rH | 23488.3320 lx | 18.6520 V | 75.5950 mV | 755.6250 mA | 14069.5600 mW
2023/01/31 11:57:07 | 3.1450 (0) | 31.4207 dC | 54.5514 rH | 23386.6660 lx | 19.0280 V | 66.2450 mV | 662.1790 mA | 12600.8820 mW
2023/01/31 11:57:08 | 3.1450 (0) | 31.4398 dC | 54.5444 rH | 23288.3320 lx | 19.0280 V | 66.2450 mV | 662.1790 mA | 12600.8820 mW
2023/01/31 11:57:09 | 3.1450 (0) | 31.4262 dC | 54.5465 rH | 22990.8320 lx | 19.0100 V | 66.1370 mV | 661.1110 mA | 12568.0750 mW
2023/01/31 11:57:10 | 3.1450 (0) | 31.4531 dC | 54.5532 rH | 23384.1660 lx | 19.0100 V | 66.1370 mV | 661.1110 mA | 12568.0750 mW
2023/01/31 11:57:11 | 3.1450 (0) | 31.4434 dC | 54.5677 rH | 23364.1660 lx | 18.9960 V | 66.0200 mV | 659.9210 mA | 12536.7940 mW
2023/01/31 11:57:12 | 3.1450 (0) | 31.4476 dC | 54.5590 rH | 23305.8320 lx | 18.9930 V | 65.8170 mV | 657.9070 mA | 12496.3580 mW
2023/01/31 11:57:14 | 3.1450 (0) | 31.4682 dC | 54.5412 rH | 23201.6660 lx | 18.9930 V | 65.8170 mV | 657.9070 mA | 12496.3580 mW
2023/01/31 11:57:15 | 3.1450 (0) | 31.4640 dC | 54.5022 rH | 23267.5000 lx | 18.5050 V | 76.0900 mV | 760.5690 mA | 14047.4350 mW
2023/01/31 11:57:16 | 3.1450 (0) | 31.4436 dC | 54.4582 rH | 23277.5000 lx | 18.5050 V | 76.0900 mV | 760.5690 mA | 14047.4350 mW
2023/01/31 11:57:17 | 3.1450 (0) | 31.4375 dC | 54.4804 rH | 23230.8320 lx | 18.2280 V | 81.9170 mV | 818.8280 mA | 14927.1160 mW
2023/01/31 11:57:18 | 3.1450 (0) | 31.4325 dC | 54.4481 rH | 23020.8320 lx | 18.2280 V | 81.9170 mV | 818.8280 mA | 14927.1160 mW
2023/01/31 11:57:19 | 3.1450 (0) | 31.4243 dC | 54.4865 rH | 23177.5000 lx | 18.4730 V | 76.8770 mV | 768.4430 mA | 14171.0330 mW
2023/01/31 11:57:21 | 3.1450 (0) | 31.4331 dC | 54.4708 rH | 23167.5000 lx | 18.4730 V | 76.8770 mV | 768.4430 mA | 14171.0330 mW
2023/01/31 11:57:22 | 3.1450 (0) | 31.4180 dC | 54.4652 rH | 23135.8320 lx | 18.9750 V | 66.0800 mV | 660.5310 mA | 12533.7420 mW
2023/01/31 11:57:23 | 3.1450 (0) | 31.3972 dC | 54.4592 rH | 23192.5000 lx | 18.9720 V | 66.0750 mV | 660.4700 mA | 12530.6900 mW
2023/01/31 11:57:24 | 3.1450 (0) | 31.3768 dC | 54.4201 rH | 23215.8320 lx | 18.9720 V | 66.0750 mV | 660.4700 mA | 12530.6900 mW
2023/01/31 11:57:25 | 3.1450 (0) | 31.3745 dC | 54.3863 rH | 23205.0000 lx | 18.9770 V | 66.0970 mV | 660.7140 mA | 12538.3200 mW
2023/01/31 11:57:26 | 3.1450 (0) | 31.3726 dC | 54.4036 rH | 23181.6660 lx | 18.9770 V | 66.0970 mV | 660.7140 mA | 12538.3200 mW
2023/01/31 11:57:28 | 3.1450 (0) | 31.3623 dC | 54.3947 rH | 23168.3320 lx | 18.9770 V | 66.1000 mV | 660.7140 mA | 12539.0830 mW
2023/01/31 11:57:29 | 3.1450 (0) | 31.3536 dC | 54.4009 rH | 23192.5000 lx | 18.9770 V | 66.1000 mV | 660.7140 mA | 12539.0830 mW
2023/01/31 11:57:30 | 3.1450 (0) | 31.3490 dC | 54.4186 rH | 23083.3320 lx | 18.9780 V | 66.1100 mV | 660.8360 mA | 12542.1350 mW
2023/01/31 11:57:31 | 3.1450 (0) | 31.3480 dC | 54.4123 rH | 23062.5000 lx | 18.9750 V | 66.1000 mV | 660.7140 mA | 12537.5570 mW
2023/01/31 11:57:32 | 3.1450 (0) | 31.3499 dC | 54.4251 rH | 23044.1660 lx | 18.9750 V | 66.1000 mV | 660.7140 mA | 12537.5570 mW
2023/01/31 11:57:34 | 3.1450 (0) | 31.3463 dC | 54.4371 rH | 23031.6660 lx | 18.9750 V | 66.1000 mV | 660.7140 mA | 12537.5570 mW
2023/01/31 11:57:35 | 3.1450 (0) | 31.3440 dC | 54.4293 rH | 23030.8320 lx | 18.9750 V | 66.1000 mV | 660.7140 mA | 12537.5570 mW
2023/01/31 11:57:36 | 3.1450 (0) | 31.3532 dC | 54.4499 rH | 23013.3320 lx | 18.9780 V | 66.1120 mV | 660.8360 mA | 12542.1350 mW
2023/01/31 11:57:37 | 3.1450 (0) | 31.3513 dC | 54.4489 rH | 23000.0000 lx | 18.9780 V | 66.1120 mV | 660.8360 mA | 12542.1350 mW
2023/01/31 11:57:38 | 3.1450 (0) | 31.3566 dC | 54.4107 rH | 23005.0000 lx | 18.9800 V | 66.1200 mV | 660.9280 mA | 12544.4230 mW
2023/01/31 11:57:39 | 3.1450 (0) | 31.3519 dC | 54.3977 rH | 23000.0000 lx | 18.9820 V | 66.1300 mV | 661.0190 mA | 12549.0010 mW
2023/01/31 11:57:41 | 3.1450 (0) | 31.3454 dC | 54.4026 rH | 23002.5000 lx | 18.9820 V | 66.1300 mV | 661.0190 mA | 12549.0010 mW
2023/01/31 11:57:42 | 3.1450 (0) | 31.3379 dC | 54.4123 rH | 23003.3320 lx | 18.9860 V | 66.1420 mV | 661.1410 mA | 12552.8160 mW
2023/01/31 11:57:43 | 3.1450 (0) | 31.3234 dC | 54.3717 rH | 23015.0000 lx | 18.9860 V | 66.1420 mV | 661.1410 mA | 12552.8160 mW
2023/01/31 11:57:44 | 3.1450 (0) | 31.3133 dC | 54.3872 rH | 23030.0000 lx | 18.9910 V | 66.1600 mV | 661.3250 mA | 12558.9190 mW
2023/01/31 11:57:45 | 3.1450 (0) | 31.3148 dC | 54.3682 rH | 23028.3320 lx | 18.9910 V | 66.1600 mV | 661.3250 mA | 12558.9190 mW
2023/01/31 11:57:46 | 3.1450 (0) | 31.3066 dC | 54.3760 rH | 23040.8320 lx | 18.9950 V | 66.1770 mV | 661.5080 mA | 12565.7860 mW
2023/01/31 11:57:48 | 3.1450 (0) | 31.3225 dC | 54.4309 rH | 23044.1660 lx | 19.0000 V | 66.1920 mV | 661.6600 mA | 12571.8900 mW
2023/01/31 11:57:49 | 3.1450 (0) | 31.3299 dC | 54.4415 rH | 23064.1660 lx | 19.0000 V | 66.1920 mV | 661.6600 mA | 12571.8900 mW
2023/01/31 11:57:50 | 3.1450 (0) | 31.3234 dC | 54.4175 rH | 23092.5000 lx | 19.0050 V | 66.2100 mV | 661.8130 mA | 12577.9930 mW
2023/01/31 11:57:51 | 3.1450 (0) | 31.3440 dC | 54.4493 rH | 23118.3320 lx | 19.0050 V | 66.2100 mV | 661.8130 mA | 12577.9930 mW
2023/01/31 11:57:52 | 3.1450 (0) | 31.3585 dC | 54.4467 rH | 23146.6660 lx | 19.0100 V | 66.2270 mV | 661.9960 mA | 12585.6230 mW
2023/01/31 11:57:53 | 3.1450 (0) | 31.3742 dC | 54.4590 rH | 23178.3320 lx | 19.0100 V | 66.2270 mV | 661.9960 mA | 12585.6230 mW
2023/01/31 11:57:54 | 3.1450 (0) | 31.3627 dC | 54.4086 rH | 23207.5000 lx | 19.0160 V | 66.2500 mV | 662.2100 mA | 12593.2520 mW
2023/01/31 11:57:56 | 3.1450 (0) | 31.3622 dC | 54.3867 rH | 23260.0000 lx | 19.0160 V | 66.2500 mV | 662.2100 mA | 12593.2520 mW
2023/01/31 11:57:57 | 3.1450 (0) | 31.3787 dC | 54.3714 rH | 23290.8320 lx | 19.0260 V | 66.2820 mV | 662.5450 mA | 12605.4590 mW
2023/01/31 11:57:58 | 3.1450 (0) | 31.3623 dC | 54.3868 rH | 23333.3320 lx | 19.0360 V | 66.3200 mV | 662.9110 mA | 12619.1930 mW
2023/01/31 11:57:59 | 3.1450 (0) | 31.3763 dC | 54.3766 rH | 23376.6660 lx | 19.0360 V | 66.3200 mV | 662.9110 mA | 12619.1930 mW
2023/01/31 11:58:00 | 3.1450 (0) | 31.3723 dC | 54.3974 rH | 23430.8320 lx | 19.0470 V | 66.3550 mV | 663.2780 mA | 12633.6890 mW
2023/01/31 11:58:01 | 3.1450 (0) | 31.3810 dC | 54.4521 rH | 23477.5000 lx | 19.0470 V | 66.3550 mV | 663.2780 mA | 12633.6890 mW
2023/01/31 11:58:02 | 3.1450 (0) | 31.3906 dC | 54.4056 rH | 23547.5000 lx | 19.0570 V | 66.3920 mV | 663.6440 mA | 12648.1850 mW
2023/01/31 11:58:04 | 3.1450 (0) | 31.3951 dC | 54.4109 rH | 23605.8320 lx | 19.0570 V | 66.3920 mV | 663.6440 mA | 12648.1850 mW
2023/01/31 11:58:05 | 3.1450 (0) | 31.4037 dC | 54.3999 rH | 23674.1660 lx | 19.0710 V | 66.4370 mV | 664.1020 mA | 12665.7320 mW
2023/01/31 11:58:06 | 3.1450 (0) | 31.3974 dC | 54.3818 rH | 23770.8320 lx | 19.0710 V | 66.4370 mV | 664.1020 mA | 12665.7320 mW
2023/01/31 11:58:07 | 3.1450 (0) | 31.4083 dC | 54.4002 rH | 23848.3320 lx | 19.0870 V | 66.4920 mV | 664.6510 mA | 12686.3320 mW
