

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/06 00:11:36 | 3.1450 (0) | 26.6546 dC | 50.2564 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:11:41 | 3.1450 (0) | 26.6724 dC | 50.2316 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:11:46 | 3.1450 (0) | 26.6619 dC | 50.2419 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:11:51 | 3.1450 (0) | 26.6836 dC | 50.2324 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:11:56 | 3.1450 (0) | 26.6861 dC | 50.2344 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:01 | 3.1450 (0) | 26.6897 dC | 50.2595 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:06 | 3.1450 (0) | 26.7006 dC | 50.2293 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:11 | 3.1450 (0) | 26.6941 dC | 50.2274 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:16 | 3.1450 (0) | 26.6941 dC | 50.2055 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:21 | 3.1450 (0) | 26.7124 dC | 50.2392 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:26 | 3.1450 (0) | 26.7176 dC | 50.1957 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:31 | 3.1450 (0) | 26.7162 dC | 50.2392 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:36 | 3.1450 (0) | 26.7147 dC | 50.2145 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:41 | 3.1450 (0) | 26.7124 dC | 50.1862 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:46 | 3.1450 (0) | 26.7042 dC | 50.1889 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:51 | 3.1450 (0) | 26.6960 dC | 50.1669 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:12:56 | 3.1450 (0) | 26.6806 dC | 50.1568 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:01 | 3.1450 (0) | 26.6733 dC | 50.1634 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:06 | 3.1450 (0) | 26.6644 dC | 50.1701 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:11 | 3.1450 (0) | 26.6638 dC | 50.1302 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:16 | 3.1450 (0) | 26.6296 dC | 50.1698 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:21 | 3.1450 (0) | 26.6392 dC | 50.1041 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:26 | 3.1450 (0) | 26.6241 dC | 50.1149 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:31 | 3.1450 (0) | 26.6241 dC | 50.1202 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:36 | 3.1450 (0) | 26.5976 dC | 50.0875 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:41 | 3.1450 (0) | 26.5877 dC | 50.0841 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:46 | 3.1450 (0) | 26.6132 dC | 50.0938 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:51 | 3.1450 (0) | 26.5985 dC | 50.0619 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:13:56 | 3.1450 (0) | 26.5785 dC | 50.0816 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:14:01 | 3.1450 (0) | 26.5623 dC | 50.0584 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:14:06 | 3.1450 (0) | 26.5564 dC | 50.0246 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:14:11 | 3.1450 (0) | 26.5238 dC | 50.0060 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:14:16 | 3.1450 (0) | 26.5146 dC | 50.0197 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:14:21 | 3.1450 (0) | 26.5257 dC | 50.0188 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:14:26 | 3.1450 (0) | 26.5125 dC | 49.9909 rH | 23.3333 lx | 0.1842 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/06 00:14:31 | 3.1450 (0) | 26.4805 dC | 49.9907 rH | 22.5000 lx | 0.1776 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
