

Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/02/07 11:50:25 | 3.1450 (0) | 25.0748 dC | 51.1641 rH | 432.5000 lx | 3.4136 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:50:30 | 3.1450 (0) | 25.0788 dC | 51.1343 rH | 431.6667 lx | 3.4070 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:50:35 | 3.1450 (0) | 25.0841 dC | 51.1372 rH | 430.0000 lx | 3.3938 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:50:40 | 3.1450 (0) | 25.0851 dC | 51.1362 rH | 429.1667 lx | 3.3873 W/m^2 | 0.0010 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:50:45 | 3.1450 (0) | 25.0715 dC | 51.1008 rH | 430.0000 lx | 3.3938 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:50:50 | 3.1450 (0) | 25.0906 dC | 51.1094 rH | 428.3333 lx | 3.3807 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:50:55 | 3.1450 (0) | 25.1053 dC | 51.0942 rH | 428.3333 lx | 3.3807 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:00 | 3.1450 (0) | 25.1167 dC | 51.0941 rH | 433.3333 lx | 3.4202 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:05 | 3.1450 (0) | 25.1024 dC | 51.0798 rH | 434.1667 lx | 3.4267 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:10 | 3.1450 (0) | 25.1308 dC | 51.0619 rH | 431.6667 lx | 3.4070 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:15 | 3.1450 (0) | 25.1204 dC | 51.0785 rH | 430.0000 lx | 3.3938 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:20 | 3.1450 (0) | 25.1217 dC | 51.0452 rH | 429.1667 lx | 3.3873 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:25 | 3.1450 (0) | 25.1390 dC | 51.0363 rH | 418.3333 lx | 3.3018 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:30 | 3.1450 (0) | 25.1453 dC | 51.0211 rH | 428.3333 lx | 3.3807 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:35 | 3.1450 (0) | 25.1490 dC | 51.0159 rH | 407.5000 lx | 3.2163 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:40 | 3.1450 (0) | 25.1711 dC | 50.9921 rH | 409.1667 lx | 3.2294 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:45 | 3.1450 (0) | 25.1873 dC | 51.0015 rH | 408.3333 lx | 3.2228 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:50 | 3.1450 (0) | 25.1892 dC | 50.9779 rH | 410.0000 lx | 3.2360 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:51:55 | 3.1450 (0) | 25.2092 dC | 50.9783 rH | 409.1667 lx | 3.2294 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:00 | 3.1450 (0) | 25.2094 dC | 50.9460 rH | 410.8333 lx | 3.2426 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:05 | 3.1450 (0) | 25.2115 dC | 50.9386 rH | 413.3333 lx | 3.2623 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:10 | 3.1450 (0) | 25.2213 dC | 50.9351 rH | 412.5000 lx | 3.2557 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:15 | 3.1450 (0) | 25.2436 dC | 50.9229 rH | 413.3333 lx | 3.2623 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:20 | 3.1450 (0) | 25.2304 dC | 50.8803 rH | 415.8333 lx | 3.2820 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:25 | 3.1450 (0) | 25.2623 dC | 50.8964 rH | 425.8333 lx | 3.3610 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:30 | 3.1450 (0) | 25.2628 dC | 50.8886 rH | 420.8333 lx | 3.3215 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:35 | 3.1450 (0) | 25.2790 dC | 50.8566 rH | 419.1667 lx | 3.3083 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
2023/02/07 11:52:40 | 3.1450 (0) | 25.2939 dC | 50.8476 rH | 431.6667 lx | 3.4070 W/m^2 | 0.0000 V | -0.0050 mV | 0.0000 mA | 0.0000 mW
